species	gene_id	symbol	start	end	strand	symbol_source
mouse	mm39_ND3	ND3	9459	9806	+	from-track
mouse	mm39_ND4L	ND4L	9877	10173	+	from-track
mouse	mm39_ND4	ND4	10167	11544	+	from-track
mouse	mm39_ND5	ND5	11742	13565	+	from-track
mouse	mm39_ND6	ND6	13552	14070	-	from-track
mouse	mm39_CYTB	CYTB	14145	15288	+	from-track
rat	rn7_ND1	ND1	2740	3694	+	from-track
rat	rn7_ND2	ND2	3904	4942	+	from-track
rat	rn7_COX1	COX1	5323	6867	+	from-track
rat	rn7_COX2	COX2	7006	7689	+	from-track
rat	rn7_ATP8	ATP8	7758	7961	+	from-track
rat	rn7_ATP6	ATP6	7919	8599	+	from-track
rat	rn7_COX3	COX3	8599	9382	+	from-track
rat	rn7_ND3	ND3	9451	9798	+	from-track
rat	rn7_ND4L	ND4L	9870	10166	+	from-track
rat	rn7_ND4	ND4	10160	11537	+	from-track
rat	rn7_ND5	ND5	11736	13565	+	from-track
rat	rn7_ND6	ND6	13543	14061	-	from-track
rat	rn7_CYTB	CYTB	14136	15278	+	from-track
rabbit	oryCun2_ND1	ND1	2749	3703	+	from-track
rabbit	oryCun2_ND2	ND2	3920	4963	+	from-track
rabbit	oryCun2_COX1	COX1	5354	6895	+	from-track
rabbit	oryCun2_COX2	COX2	7039	7722	+	from-track
rabbit	oryCun2_ATP8	ATP8	7796	7999	+	from-track
rabbit	oryCun2_ATP6	ATP6	7957	8636	+	from-track
rabbit	oryCun2_COX3	COX3	8637	9420	+	from-track
rabbit	oryCun2_ND3	ND3	9491	9837	+	from-track
rabbit	oryCun2_ND4L	ND4L	9906	10202	+	from-track
rabbit	oryCun2_ND4	ND4	10196	11573	+	from-track
rabbit	oryCun2_ND5	ND5	11772	13583	+	from-track
rabbit	oryCun2_ND6	ND6	13579	14103	-	from-track
rabbit	oryCun2_CYTB	CYTB	14175	15313	+	from-track
guineapig	cavPor3_ND1	ND1	2721	3680	+	from-track
guineapig	cavPor3_ND2	ND2	3887	4930	+	from-track
guineapig	cavPor3_COX1	COX1	5329	6870	+	from-track
guineapig	cavPor3_COX2	COX2	7018	7701	+	from-track
guineapig	cavPor3_ATP8	ATP8	7770	7973	+	from-track
guineapig	cavPor3_ATP6	ATP6	7931	8611	+	from-track
guineapig	cavPor3_COX3	COX3	8611	9394	+	from-track
guineapig	cavPor3_ND3	ND3	9463	9808	+	from-track
guineapig	cavPor3_ND4L	ND4L	9879	10175	+	from-track
guineapig	cavPor3_ND4	ND4	10169	11546	+	from-track
guineapig	cavPor3_ND5	ND5	11748	13559	+	from-track
guineapig	cavPor3_ND6	ND6	13556	14086	-	from-track
guineapig	cavPor3_CYTB	CYTB	14164	15303	+	from-track
dog	canFam6_ND1	ND1	2747	3702	+	from-track
dog	canFam6_ND2	ND2	3914	4955	+	from-track
dog	canFam6_COX1	COX1	5349	6893	+	from-track
dog	canFam6_COX2	COX2	7034	7717	+	from-track
dog	canFam6_ATP8	ATP8	7803	8006	+	from-track
dog	canFam6_ATP6	ATP6	7964	8644	+	from-track
dog	canFam6_COX3	COX3	8644	9427	+	from-track
dog	canFam6_ND3	ND3	9496	9841	+	from-track
dog	canFam6_ND4L	ND4L	9911	10207	+	from-track
dog	canFam6_ND4	ND4	10201	11578	+	from-track
dog	canFam6_ND5	ND5	11778	13598	+	from-track
dog	canFam6_ND6	ND6	13582	14109	-	from-track
dog	canFam6_CYTB	CYTB	14183	15322	+	from-track
cat	felCat9_ND1	ND1	3615	4570	+	from-track
cat	felCat9_ND2	ND2	4781	5822	+	from-track
cat	felCat9_COX1	COX1	6216	7760	+	from-track
cat	felCat9_COX2	COX2	7902	8585	+	from-track
cat	felCat9_ATP8	ATP8	8658	8861	+	from-track
cat	felCat9_ATP6	ATP6	8819	9499	+	from-track
cat	felCat9_COX3	COX3	9499	10282	+	from-track
cat	felCat9_ND3	ND3	10352	10698	+	from-track
cat	felCat9_ND4L	ND4L	10768	11064	+	from-track
cat	felCat9_ND4	ND4	11058	12435	+	from-track
cat	felCat9_ND5	ND5	12634	14454	+	from-track
cat	felCat9_ND6	ND6	14438	14965	-	from-track
cat	felCat9_CYTB	CYTB	15038	16177	+	from-track
horse	equCab3_ND1	ND1	2771	3727	+	from-track
horse	equCab3_ND2	ND2	3937	4977	+	from-track
horse	equCab3_COX1	COX1	5362	6906	+	from-track
horse	equCab3_COX2	COX2	7048	7731	+	from-track
horse	equCab3_ATP8	ATP8	7804	8007	+	from-track
horse	equCab3_ATP6	ATP6	7965	8645	+	from-track
horse	equCab3_COX3	COX3	8645	9428	+	from-track
horse	equCab3_ND3	ND3	9498	9843	+	from-track
horse	equCab3_ND4L	ND4L	9915	10211	+	from-track
horse	equCab3_ND4	ND4	10205	11582	+	from-track
horse	equCab3_ND5	ND5	11789	13603	+	from-track
horse	equCab3_ND6	ND6	13587	14114	-	from-track
horse	equCab3_CYTB	CYTB	14188	15327	+	from-track
cow	bosTau9_ND1	ND1	3101	4056	+	from-track
cow	bosTau9_ND2	ND2	4266	5307	+	from-track
cow	bosTau9_COX1	COX1	5687	7231	+	from-track
cow	bosTau9_COX2	COX2	7374	8057	+	from-track
cow	bosTau9_ATP8	ATP8	8129	8329	+	from-track
cow	bosTau9_ATP6	ATP6	8290	8970	+	from-track
cow	bosTau9_COX3	COX3	8970	9750	+	from-track
cow	bosTau9_ND3	ND3	9823	10168	+	from-track
cow	bosTau9_ND4L	ND4L	10239	10535	+	from-track
cow	bosTau9_ND4	ND4	10529	11906	+	from-track
cow	bosTau9_ND5	ND5	12109	13929	+	from-track
cow	bosTau9_ND6	ND6	13913	14440	-	from-track
cow	bosTau9_CYTB	CYTB	14514	15653	+	from-track
sheep	oviAri4_ND1	ND1	2745	3699	+	from-track
sheep	oviAri4_ND2	ND2	3910	4951	+	from-track
sheep	oviAri4_COX1	COX1	5332	6876	+	from-track
sheep	oviAri4_COX2	COX2	7019	7702	+	from-track
sheep	oviAri4_ATP8	ATP8	7775	7975	+	from-track
sheep	oviAri4_ATP6	ATP6	7936	8614	+	from-track
sheep	oviAri4_COX3	COX3	8616	9399	+	from-track
sheep	oviAri4_ND3	ND3	9469	9814	+	from-track
sheep	oviAri4_ND4L	ND4L	9885	10181	+	from-track
sheep	oviAri4_ND4	ND4	10175	11552	+	from-track
sheep	oviAri4_ND5	ND5	11754	13574	+	from-track
sheep	oviAri4_ND6	ND6	13558	14085	-	from-track
sheep	oviAri4_CYTB	CYTB	14159	15298	+	from-track
pig	susScr11_ND1	ND1	3922	4876	+	from-track
pig	susScr11_ND2	ND2	5087	6128	+	from-track
pig	susScr11_COX1	COX1	6511	8055	+	from-track
pig	susScr11_COX2	COX2	8203	8890	+	from-track
pig	susScr11_ATP8	ATP8	8959	9162	+	from-track
pig	susScr11_ATP6	ATP6	9120	9800	+	from-track
pig	susScr11_COX3	COX3	9800	10583	+	from-track
pig	susScr11_ND3	ND3	10653	10998	+	from-track
pig	susScr11_ND4L	ND4L	11069	11365	+	from-track
pig	susScr11_ND4	ND4	11359	12736	+	from-track
pig	susScr11_ND5	ND5	12935	14755	+	from-track
pig	susScr11_ND6	ND6	14739	15266	-	from-track
pig	susScr11_CYTB	CYTB	15342	16481	+	from-track
opossum	monDom5_ND1	ND1	2755	3711	+	inferred
opossum	monDom5_ND2	ND2	3916	4959	+	inferred
opossum	monDom5_COX1	COX1	5406	6947	+	inferred
opossum	monDom5_COX2	COX2	7091	7775	+	inferred
opossum	monDom5_ATP8	ATP8	7836	8045	+	inferred
opossum	monDom5_ATP6	ATP6	8000	8680	+	inferred
opossum	monDom5_COX3	COX3	8680	9463	+	inferred
opossum	monDom5_ND3	ND3	9529	9879	+	inferred
opossum	monDom5_ND4L	ND4L	9947	10243	+	inferred
opossum	monDom5_ND4	ND4	10237	11614	+	inferred
opossum	monDom5_ND5	ND5	11813	13639	+	inferred
opossum	monDom5_ND6	ND6	13616	14116	-	inferred
opossum	monDom5_CYTB	CYTB	14185	15333	+	inferred
platypus	ornAna2_ND1	ND1	2807	3763	+	inferred
platypus	ornAna2_ND2	ND2	3971	5014	+	inferred
platypus	ornAna2_COX1	COX1	5389	6930	+	inferred
platypus	ornAna2_COX2	COX2	7074	7766	+	inferred
platypus	ornAna2_ATP8	ATP8	7829	8038	+	inferred
platypus	ornAna2_ATP6	ATP6	7993	8673	+	inferred
platypus	ornAna2_COX3	COX3	8673	9455	+	inferred
platypus	ornAna2_ND3	ND3	9527	9874	+	inferred
platypus	ornAna2_ND4L	ND4L	9941	10237	+	inferred
platypus	ornAna2_ND4	ND4	10231	11613	+	inferred
platypus	ornAna2_ND5	ND5	11803	13617	+	inferred
platypus	ornAna2_ND6	ND6	13614	14114	-	inferred
platypus	ornAna2_CYTB	CYTB	14186	15325	+	inferred
chicken	galGal6_ND1	ND1	4050	5024	+	inferred
chicken	galGal6_ND2	ND2	5241	6279	+	inferred
chicken	galGal6_COX1	COX1	6645	8192	+	inferred
chicken	galGal6_COX2	COX2	8331	9014	+	inferred
chicken	galGal6_ATP8	ATP8	9085	9249	+	inferred
chicken	galGal6_ATP6	ATP6	9240	9923	+	inferred
chicken	galGal6_COX3	COX3	9923	10706	+	inferred
chicken	galGal6_ND3	ND3	10776	11126	+	inferred
chicken	galGal6_ND4L	ND4L	11196	11492	+	inferred
chicken	galGal6_ND4	ND4	11486	12863	+	inferred
chicken	galGal6_ND5	ND5	13071	14888	+	inferred
chicken	galGal6_ND6	ND6	14893	16035	+	inferred
chicken	galGal6_CYTB	CYTB	16184	16705	-	inferred
turkey	melGal5_ND1	ND1	2821	3795	+	from-track
turkey	melGal5_ND2	ND2	4014	5053	+	from-track
turkey	melGal5_COX1	COX1	5419	6969	+	from-track
turkey	melGal5_COX2	COX2	7108	7791	+	from-track
turkey	melGal5_ATP8	ATP8	7863	8027	+	from-track
turkey	melGal5_ATP6	ATP6	8018	8701	+	from-track
turkey	melGal5_COX3	COX3	8701	9484	+	from-track
turkey	melGal5_ND3	ND3	9554	9905	+	from-track
turkey	melGal5_ND4L	ND4L	9975	10271	+	from-track
turkey	melGal5_ND4	ND4	10265	11642	+	from-track
turkey	melGal5_ND5	ND5	11850	13667	+	from-track
turkey	melGal5_CYTB	CYTB	13671	14813	+	from-track
turkey	melGal5_ND6	ND6	14963	15484	-	from-track
xenopus	xenTro10_ND1	ND1	2792	3759	+	from-track
xenopus	xenTro10_ND2	ND2	3969	5004	+	from-track
xenopus	xenTro10_COX1	COX1	5395	6951	+	from-track
xenopus	xenTro10_COX2	COX2	7111	7798	+	from-track
xenopus	xenTro10_ATP8	ATP8	7874	8041	+	from-track
xenopus	xenTro10_ATP6	ATP6	8032	8714	+	from-track
xenopus	xenTro10_COX3	COX3	8715	9498	+	from-track
xenopus	xenTro10_ND3	ND3	9569	9911	+	from-track
xenopus	xenTro10_ND4L	ND4L	9981	10277	+	from-track
xenopus	xenTro10_ND4	ND4	10271	11648	+	from-track
xenopus	xenTro10_ND5	ND5	11859	13676	+	from-track
xenopus	xenTro10_ND6	ND6	13668	14186	-	from-track
xenopus	xenTro10_CYTB	CYTB	14258	15399	+	from-track
zebrafish	danRer11_ND1	ND1	3803	4777	+	from-track
zebrafish	danRer11_ND2	ND2	4993	6039	+	from-track
zebrafish	danRer11_COX1	COX1	6425	7975	+	from-track
zebrafish	danRer11_COX2	COX2	8130	8820	+	from-track
zebrafish	danRer11_ATP8	ATP8	8894	9058	+	from-track
zebrafish	danRer11_ATP6	ATP6	9052	9735	+	from-track
zebrafish	danRer11_COX3	COX3	9735	10520	+	from-track
zebrafish	danRer11_ND3	ND3	10590	10940	+	from-track
zebrafish	danRer11_ND4L	ND4L	11009	11305	+	from-track
zebrafish	danRer11_ND4	ND4	11299	12679	+	from-track
zebrafish	danRer11_ND5	ND5	12897	14717	+	from-track
zebrafish	danRer11_ND6	ND6	14714	15232	-	from-track
zebrafish	danRer11_CYTB	CYTB	15308	16448	+	from-track
